Repeat,Feature,Score,Tumor type,Cohort
Repeat2,PKM,0.088095238095238,LC,discovery
Repeat14,SOD1,0.05714285714285705,LC,discovery
Repeat94,PKM,0.04047619047619044,LC,discovery
Repeat14,PKM,0.05714285714285705,LC,discovery
Repeat92,PKM,0.08333333333333326,LC,discovery
Repeat92,SOD1,0.08333333333333326,LC,discovery
Repeat91,SOD1,0.052380952380952306,LC,discovery
Repeat91,PKM,0.052380952380952306,LC,discovery
Repeat88,SOD1,0.06190476190476191,LC,discovery
Repeat98,PKM,0.06190476190476191,LC,discovery
Repeat90,PKM,0.06428571428571428,LC,discovery
Repeat17,PKM,0.07857142857142851,LC,discovery
Repeat98,SOD1,0.06190476190476191,LC,discovery
Repeat1,PKM,0.04999999999999993,LC,discovery
Repeat90,SOD1,0.06428571428571428,LC,discovery
Repeat4,SOD1,0.07619047619047614,LC,discovery
Repeat7,SOD1,0.08333333333333326,LC,discovery
Repeat1,SOD1,0.04999999999999993,LC,discovery
Repeat16,SOD1,0.07380952380952377,LC,discovery
Repeat10,SOD1,0.08571428571428563,LC,discovery
Repeat4,PKM,0.07619047619047614,LC,discovery
Repeat18,PKM,0.06428571428571428,LC,discovery
Repeat18,SOD1,0.06428571428571428,LC,discovery
Repeat9,SOD1,0.042857142857142816,LC,discovery
Repeat7,PKM,0.08333333333333326,LC,discovery
Repeat10,PKM,0.08571428571428563,LC,discovery
Repeat16,PKM,0.07380952380952377,LC,discovery
Repeat9,PKM,0.042857142857142816,LC,discovery
Repeat11,PKM,0.04523809523809519,LC,discovery
Repeat17,SOD1,0.07857142857142851,LC,discovery
Repeat21,SOD1,0.04999999999999993,LC,discovery
Repeat13,PKM,0.0357142857142857,LC,discovery
Repeat3,PKM,0.06666666666666665,LC,discovery
Repeat2,SOD1,0.088095238095238,LC,discovery
Repeat8,SOD1,0.03809523809523807,LC,discovery
Repeat99,PKM,0.06190476190476191,LC,discovery
Repeat6,PKM,0.06190476190476191,LC,discovery
Repeat13,SOD1,0.0357142857142857,LC,discovery
Repeat21,PKM,0.04999999999999993,LC,discovery
Repeat93,SOD1,0.04999999999999993,LC,discovery
Repeat3,SOD1,0.06666666666666665,LC,discovery
Repeat20,SOD1,0.06666666666666665,LC,discovery
Repeat12,SOD1,0.06666666666666665,LC,discovery
Repeat11,SOD1,0.04523809523809519,LC,discovery
Repeat100,PKM,0.05714285714285705,LC,discovery
Repeat93,PKM,0.04999999999999993,LC,discovery
Repeat6,SOD1,0.06190476190476191,LC,discovery
Repeat12,PKM,0.06666666666666665,LC,discovery
Repeat88,PKM,0.06190476190476191,LC,discovery
Repeat8,PKM,0.03809523809523807,LC,discovery
Repeat97,PKM,0.059523809523809534,LC,discovery
Repeat20,PKM,0.06666666666666665,LC,discovery
Repeat97,SOD1,0.059523809523809534,LC,discovery
Repeat96,PKM,0.05714285714285705,LC,discovery
Repeat16,SERPINB1,0.03809523809523796,LC,discovery
Repeat50,SERPINB1,0.014285714285714235,LC,discovery
Repeat73,SERPINB1,0.07142857142857129,LC,discovery
Repeat81,SERPINB1,0.05714285714285694,LC,discovery
Repeat93,SERPINB1,0.052380952380952306,LC,discovery
Repeat67,SERPINB1,0.07142857142857129,LC,discovery
Repeat32,SERPINB1,0.0785714285714284,LC,discovery
Repeat76,SERPINB1,0.042857142857142705,LC,discovery
Repeat7,SERPINB1,0.004761904761904745,LC,discovery
Repeat39,SERPINB1,0.05476190476190468,LC,discovery
Repeat31,SERPINB1,0.04761904761904756,LC,discovery
Repeat12,SERPINB1,0.05714285714285705,LC,discovery
Repeat99,SERPINB1,0.05476190476190468,LC,discovery
Repeat44,SERPINB1,0.0785714285714284,LC,discovery
Repeat98,SERPINB1,0.01904761904761887,LC,discovery
Repeat30,SERPINB1,0.033333333333333215,LC,discovery
Repeat90,SERPINB1,0.05714285714285705,LC,discovery
Repeat6,SERPINB1,0.03809523809523796,LC,discovery
Repeat54,SERPINB1,0.061904761904761796,LC,discovery
Repeat17,SERPINB1,0.052380952380952195,LC,discovery
Repeat82,SERPINB1,0.042857142857142705,LC,discovery
Repeat10,SERPINB1,0.052380952380952306,LC,discovery
Repeat75,SERPINB1,0.07619047619047603,LC,discovery
Repeat43,SERPINB1,0.07857142857142851,LC,discovery
Repeat14,SERPINB1,0.042857142857142816,LC,discovery
Repeat13,SERPINB1,0.03809523809523785,LC,discovery
Repeat100,SERPINB1,0.05714285714285694,LC,discovery
Repeat42,SERPINB1,0.023809523809523725,LC,discovery
Repeat94,SERPINB1,0.016666666666666607,LC,discovery
Repeat35,SERPINB1,0.033333333333333215,LC,discovery
Repeat37,SERPINB1,0.04047619047619033,LC,discovery
Repeat69,SERPINB1,0.04999999999999982,LC,discovery
Repeat63,SERPINB1,0.04761904761904745,LC,discovery
Repeat68,SERPINB1,0.01904761904761887,LC,discovery
Repeat52,SERPINB1,0.042857142857142705,LC,discovery
Repeat41,SERPINB1,0.05476190476190468,LC,discovery
Repeat78,SERPINB1,0.04761904761904756,LC,discovery
Repeat92,SERPINB1,0.0976190476190475,LC,discovery
Repeat36,SERPINB1,0.08571428571428563,LC,discovery
Repeat74,SERPINB1,0.06666666666666654,LC,discovery
Repeat77,SERPINB1,0.04047619047619033,LC,discovery
Repeat79,SERPINB1,0.033333333333333215,LC,discovery
Repeat60,SERPINB1,0.016666666666666496,LC,discovery
Repeat5,SERPINB1,0.02857142857142847,LC,discovery
Repeat34,SERPINB1,0.06428571428571417,LC,discovery
Repeat58,SERPINB1,0.033333333333333104,LC,discovery
Repeat97,SERPINB1,0.05952380952380942,LC,discovery
Repeat15,SERPINB1,0.042857142857142816,LC,discovery
Repeat51,SERPINB1,0.06666666666666654,LC,discovery
Repeat33,SERPINB1,0.04761904761904745,LC,discovery
Repeat38,SERPINB1,0.04761904761904756,LC,discovery
