Gene,C2_mean,C1_mean,C3_mean,C5_mean,C4_mean
PTPRJ,19.39356047360171,19.414164689637303,19.289951840191247,19.29645172969325,19.636736730393707
PVR,18.879774899826835,19.081849376373054,18.969217087582436,18.906355762160494,18.49127557937009
PZP,23.642664014382976,23.58872932296873,23.768500466767115,23.83277212790123,24.192206978346455
QSOX1,22.204415059194915,22.26310380160622,22.89303358254144,22.870017134817083,23.02241554968504
RBP4,24.569849662669498,24.329256230103653,24.828512571825613,24.785628051768295,24.775243888188978
S100A8,19.00817041018869,19.71490452083333,19.198299571782467,19.198667999798666,19.16044111391304
S100A9,20.23601840728814,20.826414232435233,20.295162986294276,20.406185387682925,20.47937637102362
SAA1,21.850895194999993,22.45734456098446,21.382275809972608,20.84461228576687,20.62193367834645
SBSN,16.212655450909082,16.292440353020833,16.021172259889813,16.447345647926827,16.04797466277778
SELENBP1,19.617729570344814,19.64150364707602,20.01354379322946,20.043922371963184,19.828276235599997
SELENOP,22.897189577669486,22.692754683937807,22.985958264305168,22.901097445182927,23.00776396685038
SELL,21.051367270762704,20.818503681347153,20.888349775722073,21.164149201524392,21.042167414803156
SERPINA10,20.941441465677972,20.93499812362695,20.727714673269745,20.58178401225609,20.860460837637795
SERPINA11,16.636538401538466,16.966932618947375,16.322162242657143,16.36120272661654,16.561634347647054
