Gene,Digestive,Reproductive,Respirato,Urinary,Circulation,Endocrine
VASN,0.3704153189286721,-0.03308367789028208,-0.26537993848900954,-0.17724219380410977,0.2577154501086515,0.2747705513391504
VCAM1,0.1887982410138309,-0.027818856093944015,-0.0806900143654319,-0.13904746552556385,0.1821065912030395,-0.45115519746170135
VCL,0.19737656581189147,-0.28567156605675476,-0.13652523749769588,0.10237177486401762,0.14047878115550655,-0.46293709395916643
YWHAG,0.16269857059672668,0.05006148025008462,-0.1683028637949783,0.095464355347892,-0.07479308168831658,-2.1767308886234304
YWHAQ,0.22721001989731288,-0.3181105528336847,0.09406933820486879,0.12373261788419877,-0.18968169148859232,-1.9345026411420012
YWHAZ,0.11086360829078808,0.09289178547564594,-0.1163486889325473,0.06483547837978525,-0.1492972816706689,-0.7615202877659188
ADGRB3,-0.12100689584809904,0.32253680101076426,-0.21825298185895312,0.05437235682349168,-0.0045324519421159355,0.16907210971494036
ALDOA,0.15091877252894254,0.20201429460891693,-0.280753880560185,-0.0566113085407234,0.08107400027799447,0.022587360377073762
ANPEP,0.031726833953221914,0.17147257590753384,-0.19213141141468965,0.08149936720851851,-0.10174802777336789,-0.07342763424596019
APOA2,-0.17010300390437952,0.3012495386083954,-0.13229698515030394,0.05720803984153517,-0.06123684853409459,0.2263176760619238
APOC2,0.058387640741546364,0.2195069535626618,-0.03181354274729397,-0.24571922618803516,0.10106245361581263,0.11961724098167434
APOH,-0.07519806260460038,0.2562298925324308,-0.1748855753088942,0.16201773065298203,-0.20788435406362638,-0.44357147377608824
APOL1,-0.11866636569957817,0.38091764701271197,0.07442193552869807,-0.299579539279286,0.03848712577177875,0.3170159532211029
CNDP2,0.09662149567921208,0.246505756320381,-0.21050563258980567,0.0947187672547783,-0.2905689519865396,-0.9264425665180672
F11,-0.1340788271673726,0.36446999076604514,-0.07494194708534131,-0.0009015270805370592,-0.15953982328182345,-0.27987847331784865
FAH,0.12791785153892019,0.13783790834197732,-0.20740727739072606,-0.05255100826121011,0.07557838761579996,-0.10414788787432709
FUCA1,0.11475081258700308,0.15895998836209707,-0.08879531984386621,-0.0969244846136685,-0.08397259932520135,0.13426097642093934
Fibrinogen,-0.1514291656296612,0.18097354790079584,0.1250885626875964,0.007382800381769837,-0.20183980649710695,0.06866858003439101
HGFAC,-0.2682072791304897,0.3591861919888021,-0.033929356474194546,-0.03258391249150139,-0.010030561398669252,0.33276513045499456
HNRNPK,0.06149690515606376,0.3946040278870272,-0.11045880409877994,-0.1838992379455492,-0.05046215491591542,-0.26731196396803086
JCHAIN,-0.03228596397771242,0.1608411365100431,0.15037765742701342,-0.1316980695652948,-0.11847597314002255,-1.2828495504108322
KLKB1,-0.3551935882259468,0.3754183013331849,0.05178022019258353,-0.0393702144093206,-0.040281138954597596,0.3482794640004589
KRT2,0.02899243865091482,0.1796413157851919,-0.2478104509285564,0.10392514940620262,-0.01542399548949176,-0.5439976229365777
MDH1,0.11548108529478893,0.12097342887324741,-0.26145781283224845,0.03894289498462832,-0.05591963415934094,-0.014715503288251969
NUCB1,-0.25464577086910456,0.27209327804521954,0.04821223586257454,0.12298207355750825,-0.17382066050300174,-0.3382143192088489
SAA4,0.05044275247368443,0.2441575393990831,0.002714820662168297,-0.22473749219642944,0.016386018722336654,-0.3666083576991018
SBSN,0.019058569478196556,0.12381910944713327,-0.1951597120075013,0.04943626910450044,0.055771940092276734,-0.15694986121885876
SF3A3,0.054555078893550824,0.3023075760639387,-0.46580543338071373,0.0034228013329446736,-0.17710506604451592,-0.29954587462901683
SLC25A3,-0.058663263338880944,0.23136083048755862,0.01780544642426005,-0.3124465017618941,0.16196918689534767,-0.09571164317959295
SOD1,-0.09502588314861135,0.2230864791831364,-0.1494390174763612,0.07054867356250193,-0.02086488016099453,0.01800401136702037
TNXB,0.022525075603808047,0.10537665958653418,0.05703316740519676,-0.02874241751283531,-0.19125340091551576,-0.49127348635403223
VASP,-0.1026557449635579,0.4480497119498629,-0.018938400973191986,-0.3543604306011317,0.29002991064583683,-1.0483408362856446
VTN,-0.28718857723084357,0.20011077745193656,0.024867965455514777,-0.001662278047773823,0.10436826764347677,0.05099277122811312
PSIP1,0.29965401444331585,-0.20119163015300648,0.4004480839511718,-0.7226504952889672,0.20388841013884337,0.20917770742186917
ABI3BP,-0.1749440329810925,0.03523369798257947,0.17436211012621816,0.00048067978761250616,-0.06327682919872488,-0.3706246774749464
ADAMTS13,-0.18790082112419637,-0.06061099184901275,0.2992800442396341,0.042209263155814664,-0.12541869396380792,-0.3760749959642694
