Gene,BLCA,BRCA,CECA,CHOL,CRCA,ESCA,HNCA,LC,LIHC,ML,OVCA,PAAD,RCC,SARC,STAD,TGCT,THCA,others
ITIH4,-0.40618213435062744,0.006730834775367492,-0.4024836930351003,0.38740887497522497,0.06056084732741106,0.31216390529621585,-0.19814514688883778,0.04979758922934609,-0.4358279619095607,0.16079744234149704,0.1497172937956336,0.289844705565992,0.33402265664091396,0.08101412782654362,0.35472676762091193,-1.0645099171997345,0.3243607755202441,-0.19842342234426455
ITIH5,-0.3682120122820845,-0.057300510855259085,-0.47244429589097087,0.6634545182878238,0.01523952294162333,0.16750853831865364,0.11423885874567752,0.059309955255355463,0.29914805010465484,-0.04314309882811048,-0.09316171592262845,-0.517462642359275,-0.0017067979748669122,0.17825117172756558,0.13739609569706737,0.3564953109677394,0.06530429335932167,-0.022435195801344884
LCN2,0.06734529739860816,-0.25347620570065127,0.21576582653218818,0.5891949819565537,0.08342518796152555,0.24687610174229438,-0.399340125514308,0.04206185440996395,0.07369712226856046,-0.012522484351542717,0.028397585376572443,0.4408234880189783,-0.21850379284028562,0.08222349354382785,0.28168550632399697,-0.5119029395663015,-0.3560771209843662,0.1514970768002683
MASP2,-0.39288373972610097,-0.41163909256529185,-0.6827178711564706,0.7708677220883583,0.02636456021395768,0.5165277395028985,0.12131816594194275,0.02911513233511683,0.27277209206238534,0.19760277092516673,0.13609490938629057,0.3978988655351651,0.27459902824039,0.555444381900782,0.24218304735723856,-0.6593179490617247,0.12727143645484376,-0.2400656833895877
MEGF8,0.02155521113427335,0.06932351774246476,-0.11876444244354573,0.34569250499902404,0.3108637156377142,0.02112697407871605,0.19362498241412765,-0.31123117733481187,0.05311926419370204,0.1862805418207239,0.3351981608484154,0.0013907976809102286,-0.29089779346704836,0.09817571893049948,0.31963986224148533,0.007785234536710907,0.22957859768860298,0.20388529149856405
MRC1,-0.05647854870392781,-0.18576257401243237,0.45236967452733073,0.6038707441590605,0.09850924309749001,-0.026860030678816427,-0.4300915465502505,-0.06624466160308164,0.6024332880842701,0.13152751346491665,0.11171891573397297,0.2896811982353518,-0.09019414930368362,0.19188178598951772,0.05328451618874887,-0.484200762076729,-0.4264394008153788,0.19192817513691932
NOTCH3,0.09111653398472701,-0.1359294175001404,-0.3927074407249637,0.3956279000558513,-0.12401056678711433,0.05200311071591785,-0.7672598320665666,-0.0621257214174663,0.3586585437374863,0.1823201991530996,-1.0809639055708635,-0.5299961485134231,-0.0933954959900881,0.01070106408514999,0.021220274942780608,-1.4771046091149576,-0.3257843771036498,0.34639538827075583
OSMR,-0.0876640566305156,-0.25703547249089836,-0.303014059522372,0.8409260551362427,-0.001956251942728582,0.14392560584479802,-0.3728620405210317,-0.09270517468053086,0.732865993742218,0.11621332247474138,0.12674024643931947,0.7271757224785216,0.01896870159080677,0.012230671888767919,-0.1327755202122928,-0.8340504370643422,-0.04196282813860559,-0.03533182527699771
PKM,-0.22969977080288725,-0.585100981503418,-0.8289066565146486,0.5168748305083359,0.14284685188900656,0.31054323517685817,0.456171421052315,-0.0233780153245878,0.370922511340329,0.05764108727455808,0.4360462804667471,0.2312862109464795,0.006959771729558944,-0.019320373843056012,0.3815346491533054,0.09293747933925367,-0.9898467257032457,0.25659506876829763
POSTN,-0.4324641259687142,-0.07839637439112065,-0.20059547395860058,0.5313912753183305,0.19601918083647546,-0.11545599617205245,-0.6910013186662886,0.1313109000944122,0.04312911487597154,0.2323573130030331,-0.12684930763645172,0.4413185178872133,-0.18416630099053816,-0.19695045040189374,0.05785448845825078,-0.24277087197798922,0.1846950645825517,0.031820360783960985
POTEI,-0.16549993538705426,-0.5981469080753788,-0.8368569712175399,0.48511478738582703,-0.14524798978385176,0.4260421860665342,-0.38472631014976705,0.000807698124077207,0.20224068056894975,0.14502169246835184,0.482695753274787,-0.5020283571954904,0.4297035097956693,0.29556771484353345,0.2889455466887338,0.14881690593303162,-0.6039036060011144,-0.24005240986502582
PROS1,-0.31363878499382747,0.031940508725285824,-0.32044641227920956,0.5949249062700148,0.19865689471940384,0.3299906600659685,-0.10099661976582959,-0.10541316894601609,-0.5946095496136182,0.1556469906640114,0.16619948208401183,0.5810277776193169,0.3319097479387987,0.2351756923859557,0.23511814880655174,-0.922037384167305,0.42864377710203894,-0.1385900629918133
RNASE4,0.19437820932018737,-0.030543094459811505,0.22759182084852436,0.42794920545588266,0.10773537092966178,0.03430483525043468,-0.1375370920796367,-0.3042726065365432,0.2324637327713503,0.06835524248464704,0.25067561187541393,0.3935892976656097,-0.2932108176647755,0.08012766521253911,0.18215162296043852,-0.35552504704099946,-0.4212181067875276,0.27849328636710907
RNASEH2C,-0.0037965070147167657,-0.660265424209156,-1.7235751493636595,0.6545565689053018,0.07875395266855044,0.2629324727476869,0.6308683175199109,-0.025679351204064026,-0.11249633987308955,0.09020553628195159,0.029552397691709507,-0.4561657506077086,0.2872015803230907,-0.8150576734738718,0.24765654428402403,0.002481387226305968,-3.333784825980354,0.1578946536019775
