,feature,AUROC
test,MCHC,0.6736111111111112
train,MCHC,0.7670940170940171
test,MCHC,0.6013888888888889
train,MCHC,0.7554754273504274
test,MCHC,0.607638888888889
train,MCHC,0.7435897435897435
test,MCHC,0.5090277777777779
train,MCHC,0.7682959401709402
test,MCHC,0.5777777777777778
train,MCHC,0.7686965811965811
test,MCHC,0.5090277777777779
train,MCHC,0.7284989316239316
test,MCHC,0.6187499999999999
train,MCHC,0.7098023504273504
test,MCHC,0.7027777777777777
train,MCHC,0.7305021367521367
test,MCHC,0.6250000000000001
train,MCHC,0.7554754273504274
test,MCHC,0.625
train,MCHC,0.7154113247863249
test,MCHC,0.7069444444444445
train,MCHC,0.7505341880341879
test,MCHC,0.5972222222222222
train,MCHC,0.7489316239316239
test,MCHC,0.6340277777777779
train,MCHC,0.7367788461538461
test,MCHC,0.6347222222222222
train,MCHC,0.7243589743589743
test,MCHC,0.6451388888888889
train,MCHC,0.7532051282051282
test,MCHC,0.5958333333333333
train,MCHC,0.7059294871794871
test,MCHC,0.7076388888888888
train,MCHC,0.7301014957264957
test,MCHC,0.5798611111111112
train,MCHC,0.748130341880342
test,MCHC,0.5881944444444445
train,MCHC,0.7554754273504274
test,MCHC,0.5673611111111111
train,MCHC,0.7280982905982906
test,MCHC,0.7013888888888888
train,MCHC,0.7427884615384616
test,MCHC,0.5402777777777777
train,AFP,0.9613636363636364
test,AFP,0.7336734693877551
train,AFP,0.9378787878787879
test,AFP,0.7755102040816326
train,AFP,0.9568181818181818
test,AFP,0.7102040816326529
train,AFP,0.9056818181818181
test,AFP,0.9204081632653061
train,AFP,0.9456439393939393
test,AFP,0.7204081632653061
train,AFP,0.946780303030303
test,AFP,0.7316326530612245
train,AFP,0.9274621212121212
test,AFP,0.7816326530612245
train,AFP,0.9329545454545454
test,AFP,0.7959183673469389
train,AFP,0.9380681818181817
test,AFP,0.7887755102040815
train,AFP,0.931060606060606
test,AFP,0.8581632653061224
train,AFP,0.9401515151515152
test,AFP,0.7551020408163265
train,AFP,0.9242424242424243
test,AFP,0.8112244897959183
train,AFP,0.9331439393939395
test,AFP,0.8214285714285713
train,AFP,0.937310606060606
test,AFP,0.8326530612244898
train,AFP,0.9304924242424242
test,AFP,0.8020408163265306
train,AFP,0.9352272727272728
test,AFP,0.8326530612244898
train,AFP,0.9422348484848485
test,AFP,0.7377551020408163
train,AFP,0.9145833333333333
test,AFP,0.9122448979591837
train,AFP,0.9392045454545455
test,AFP,0.7173469387755103
train,AFP,0.928030303030303
test,AFP,0.8183673469387756
train,AFP,0.9306818181818182
test,AFP,0.842857142857143
train,AFP,0.9212121212121213
test,AFP,0.8969387755102041
train,AFP,0.937878787878788
test,AFP,0.7142857142857143
train,AFP,0.9424242424242425
test,AFP,0.7551020408163265
train,AFP,0.9498106060606061
test,AFP,0.7510204081632653
train,AFP,0.9285984848484848
test,AFP,0.873469387755102
train,AFP,0.9477272727272728
test,AFP,0.7295918367346939
train,AFP,0.9348484848484848
test,AFP,0.8459183673469388
train,AFP,0.943939393939394
test,AFP,0.7571428571428571
train,AFP,0.9454545454545454
test,AFP,0.7948979591836735
train,AFP,0.950189393939394
test,AFP,0.7306122448979592
train,AFP,0.9255681818181818
test,AFP,0.8275510204081632
train,AFP,0.9433712121212121
test,AFP,0.7795918367346939
train,AFP,0.9232954545454546
test,AFP,0.9010204081632652
train,AFP,0.9225378787878789
test,AFP,0.8061224489795917
train,AFP,0.9390151515151516
test,AFP,0.7653061224489797
train,AFP,0.9162878787878788
test,AFP,0.8908163265306123
train,AFP,0.9306818181818183
test,AFP,0.8142857142857143
train,AFP,0.9443181818181818
test,AFP,0.7510204081632652
train,AFP,0.9200757575757575
test,AFP,0.8551020408163266
train,AFP,0.928219696969697
test,AFP,0.7816326530612245
train,AFP,0.9303030303030303
test,AFP,0.8224489795918367
train,AFP,0.9477272727272728
test,AFP,0.7581632653061225
train,AFP,0.9287878787878788
test,AFP,0.8244897959183674
train,AFP,0.9045454545454545
test,AFP,0.8846938775510204
train,AFP,0.9443181818181818
test,AFP,0.7163265306122448
train,AFP,0.9231060606060606
test,AFP,0.8295918367346939
train,AFP,0.9382575757575757
test,AFP,0.786734693877551
train,AFP,0.9191287878787879
test,AFP,0.8806122448979592
train,AFP,0.928030303030303
