Gene,Spearman rho,spearman_pvalues,-$\mathregular{Log_{10}}$(p-value),hue,size
KRT78,0.01117623939811441,0.9348443360229676,0.029260698896921393,zother,zother
KRT9,-0.03264097155038176,0.7824854866438972,0.10652370889834832,zother,zother
LAMA2,-0.17354196301564723,0.3043245920392494,0.5166629515018141,zother,zother
LAMB1,0.00738013313562926,0.9509392416353837,0.02184723055515962,zother,zother
LAMC1,-0.12882765433136373,0.4046044724214355,0.39296932092948755,zother,zother
LAMP2,-0.04798400536444506,0.684756810620146,0.16446363954126872,zother,zother
LASP1,0.20276950660376855,0.17164617744780303,0.7653658638479667,zother,zother
LBP,0.43834277493112495,9.376072261389625e-05,4.027979054205482,zother,zother
LCAT,-0.24565144968520067,0.034889382810568775,1.4573067131066346,zother,zother
LCN2,0.0950256330083339,0.43392121041695386,0.3625891206891705,zother,zother
LCP1,0.06023177463493767,0.6102087709231692,0.21452155425480868,zother,zother
LDHA,0.15813987940788404,0.1784006427787779,0.7486035851909864,zother,zother
LDHB,-0.008515679964369107,0.9425949085541327,0.025674910420661556,zother,zother
LECT2,0.11080358509126705,0.4960852982157222,0.30444364334961416,zother,zother
LGALS3BP,0.08096560411340158,0.4928631975750427,0.30727360969432993,zother,zother
LMAN2,0.0813268445587385,0.5665425889892817,0.2467674371372004,zother,zother
LPA,-0.15442259997995944,0.18895611543388,0.7236390478792245,zother,zother
LRG1,0.368558628857895,0.0012334348112717928,2.9088837986291054,zother,zother
LRP1,0.10936186304346954,0.357036151868514,0.44728780696316944,zother,zother
LTA4H,-0.08274235719521814,0.5443402953424538,0.2641295154034318,zother,zother
LTF,0.34834495855429726,0.010584356317138315,1.9753355482647905,zother,zother
LUM,-0.2828538637208445,0.014611559207904471,1.8353034377783695,zother,zother
LYVE1,0.36256062818733936,0.001500831227157386,2.8236681426903236,zother,zother
LYZ,0.19482394770656628,0.09623497660184248,1.0166670549433479,zother,zother
MAN1A1,0.08203191534372259,0.48716570678477444,0.3123232907329874,zother,zother
MAN2A1,0.04077318030806403,0.7951746657550437,0.09953746500165847,zother,zother
MANBA,-0.1415116898995269,0.2323884782145025,0.6337854080024736,zother,zother
MARCKS,0.021567550386301107,0.8855835320038405,0.05277046803985449,zother,zother
MASP1,-0.292983820408894,0.011299756078126885,1.946930931301259,zother,zother
MASP2,0.028997741513451674,0.8062607115653837,0.09352450250509543,zother,zother
MBL2,-0.14525528537483862,0.21689695169109918,0.6637465515959388,zother,zother
MCAM,-0.237372727772014,0.04171032299488017,1.3797564470673547,zother,zother
MDH1,-0.06264677949359111,0.617277935759365,0.20951924635900646,zother,zother
MEGF8,0.06302909473123375,0.5989000662830569,0.22264563885039756,zother,zother
MINPP1,0.09411677595402726,0.42509554858071597,0.3715134427556568,zother,zother
MMP2,0.24616511770849886,0.04990297346274787,1.3018735762204967,zother,zother
MMRN1,0.18492090472649927,0.2351695330800129,0.6286189431073436,zother,zother
MMRN2,0.054217884549418414,0.6510274164410341,0.18640072178766393,zother,zother
MPO,0.018469271465263996,0.8895753263616535,0.05081727137081671, , 
MRC1,0.13694694370525415,0.24462776761030888,0.611494247890566,zother,zother
MRPS21,-0.15372999093929327,0.32499916402190077,0.4881177561323331,zother,zother
MSL1,0.01465924311202838,0.9247564030972764,0.03397265290774341,zother,zother
MSN,-0.015176502528727527,0.9037340660998434,0.04395934675513534,zother,zother
MST1,-0.10528342411599997,0.37199219860191046,0.4294661680204378,zother,zother
MTPN,0.1091027521555147,0.46041181834026124,0.33685353696647446,zother,zother
MYH9,0.041814101617406466,0.738866553120628,0.13143399256143837,zother,zother
MYL6,-0.07852706955744301,0.5543956092328285,0.256180217958849,zother,zother
NAGLU,0.07598081761749798,0.5349209037358326,0.27171043033504894,zother,zother
NAP1L1,0.19120400854488603,0.24360833142477803,0.6133078628785142,zother,zother
NCAM1,-0.2949239144529503,0.010746068195438026,1.9687504076898588,zother,zother
NEO1,-0.10145608280608857,0.41760724766314206,0.379231972666725,zother,zother
NID1,0.38129013888671515,0.0010356474830087899,2.984788045977646,zother,zother
NME1,-0.12894645628034443,0.3876854900373232,0.4115204530929888,zother,zother
NME2,0.16055076126810605,0.29208738312078397,0.534487202216332,zother,zother
NRP1,0.057669665706527484,0.6255116695399248,0.20376458370114325,zother,zother
NRP2,-0.2539492885599685,0.05023813777878477,1.2989664673478316,zother,zother
NUCB1,-0.08896330159793817,0.5347263120674395,0.2718684452160138,zother,zother
NUP98,-0.17105000612256926,0.16636467244610353,0.7789388907291789,zother,zother
OAF,0.1276611500745421,0.2783963638953611,0.5553364412974408,zother,zother
OIT3,0.18962764911138308,0.12430781730130033,0.9055015591776194,zother,zother
OLFM1,0.007982524349208606,0.9461834472974952,0.024024653846361443,zother,zother
OSCAR,0.06916978857155535,0.6673984823616128,0.1756147852489912,zother,zother
OSMR,0.130550621820055,0.3078062173726627,0.5117226121089299,zother,zother
P4HB,0.08833488895287157,0.4573838449502614,0.3397191789790741,zother,zother
PARK7,0.12487844449431966,0.43071255094849814,0.365812472727169,zother,zother
PCOLCE,-0.4882372545832285,1.0202429930951862e-05,4.9912963792261404,zother,zother
PCSK9,-0.06608167652350427,0.5758953906531488,0.23965639745883077,zother,zother
PCYOX1,-0.3400051836904104,0.003037833027585374,2.5174361005163988,zother,zother
PDIA3,-0.023814284143835695,0.8403865203208247,0.07552092223137925,zother,zother
PDLIM1,0.24442936707431012,0.09406749724332296,1.0265604106457755,zother,zother
PEBP4,0.02665559170931081,0.8652682406950438,0.0628492365877751,zother,zother
PECAM1,0.03419634539495023,0.8297733135937286,0.08104053666220735,zother,zother
PEPD,-0.3238894505004434,0.005184729746733145,2.2852738762202427,zother,zother
PFN1,0.005243206216932416,0.9658944833940266,0.015070314353309373,zother,zother
PGAM1,-0.21905377148299585,0.09851816523049994,1.006483684913419,zother,zother
PGD,-0.08528620831962094,0.5559378052010497,0.2549737918151236,zother,zother
PGK1,-0.04614209794936061,0.6982821904586518,0.1559690344077396,zother,zother
PGLYRP2,-0.42994557399234706,0.0001318068442055925,3.880062037970021,zother,zother
PI16,-0.29062904977526843,0.012004964692149782,1.920639112910333,zother,zother
PKM,0.01578442568442372,0.8975729234533428,0.04693025699273414,zother,zother
PLA2G7,0.033171546415406324,0.7914634832290097,0.10156911794374364,zother,zother
PLBD1,-0.0015361756800063376,0.9905455299930914,0.004125557510274801,zother,zother
PLEK,-0.00541421848626791,0.9678251467649154,0.014203097913115985,zother,zother
PLG,-0.19116590779143727,0.10277223565907405,0.9881241959307893,zother,zother
PLTP,-0.03637306085650527,0.7583351117042386,0.12013883526178573,zother,zother
PLXDC2,-0.07976600397929046,0.49931441701646284,0.30162589410851487,zother,zother
PLXNB1,-0.13659131508230668,0.39445559323433965,0.4040018814249192,zother,zother
PNP,0.1240659268660025,0.3134509718909303,0.5038303792427486,zother,zother
PODXL,0.056790360585815436,0.6584239649030814,0.18149437032957066,zother,zother
PON1,-0.3327187236165502,0.003774268902312227,2.423167161237832,zother,zother
PON3,-0.36873628302841416,0.0014366565980098696,2.842647028255504,zother,zother
POSTN,0.010575992510191914,0.9323079376712471,0.030440618179514052,zother,zother
PPBP,0.280795290651197,0.015378501546485106,1.8130859793458238,zother,zother
PPIA,-0.15038842560250812,0.22090739966105347,0.6557897364683573,zother,zother
PPIB,0.08235534281071864,0.5737329836146965,0.2412901820330357,zother,zother
PPM1D,0.04587457202851485,0.7786459593709965,0.10865996574482839,zother,zother
PRAP1,0.08147700695282256,0.6034806384439689,0.21933665887538317,zother,zother
PRCP,0.10631992762110652,0.4486213225531591,0.34812008865071564,zother,zother
PRDX1,0.05619109724766263,0.7411529654361477,0.13009214939049002,zother,zother
PRDX2,0.10238438585186506,0.39553138824235656,0.40281904642787286,zother,zother
PRDX6,0.11284784751986239,0.43523230411757374,0.36127887760367605,zother,zother
PRG4,0.07068754864336305,0.5495234790873189,0.26001374706174046,zother,zother
PRKCSH,0.0002881290821608816,0.9984155238273638,0.0006886749972395359,zother,zother
PROC,-0.2203561777214747,0.05921888318130322,1.2275397873008378,zother,zother
PROCR,0.1182169497111168,0.319196113562246,0.4959424051306635,zother,zother
